module,type,name,res_id,src,value,comments,
website_sale_restrict,model,"ir.model,name",website_sale_restrict.model_res_partner,Contact,Contato,,
socioeconomic_crm,model,"ir.model,name",socioeconomic_crm.model_crm_lead,Lead/Opportunity,Lead/oportunidade,,
delivery_correios,model,"ir.model,name",delivery_correios.model_delivery_carrier,Shipping Methods,Métodos de envio,,
website_sale_restrict,model,"ir.model,name",website_sale_restrict.model_res_config_settings,Config Settings,Configurações,,
delivery_correios,model,"ir.model,name",delivery_correios.model_stock_picking,Transfer,Transferência,,
healthcare_management,model,"ir.model,name",healthcare_management.model_hc_council,Council,Conselho,,
healthcare_management,model,"ir.model,name",healthcare_management.model_hc_profession,Profissão de Saúde,,,
healthcare_management,model,"ir.model,name",healthcare_management.model_hc_speciality,Specialities,Especialidades,,
healthcare_prescription,model,"ir.model,name",healthcare_prescription.model_hc_prescription,Prescrição Médica,,,
website_sale_restrict,model,"ir.model,name",website_sale_restrict.model_website_menu,Website Menu,Menu do site,,
partner_associated_type,model,"ir.model,name",partner_associated_type.model_res_partner_associated_type,Associated Type,Tipo de associado,,
partner_documents,model,"ir.model,name",partner_documents.model_ir_attachment,Attachment,Anexo,,
partner_documents,model,"ir.model,name",partner_documents.model_res_partner_document,Documento de identificação,,,
partner_documents,model,"ir.model,name",partner_documents.model_res_partner_document_type,Tipo de documento,,,
payment_pagarme,model,"ir.model,name",payment_pagarme.model_ir_http,HTTP Routing,Roteamento HTTP,,
payment_pagarme,model,"ir.model,name",payment_pagarme.model_payment_provider,Payment Provider,Provedor de serviços de pagamento,,
payment_pagarme,model,"ir.model,name",payment_pagarme.model_payment_token,Payment Token,Token de pagamento,,
payment_pagarme,model,"ir.model,name",payment_pagarme.model_payment_transaction,Payment Transaction,Transação de pagamento,,
website_sale_restrict,model,"ir.model,name",website_sale_restrict.model_sale_order,Sales Order,Pedido de venda,,
socioeconomic_request,model,"ir.model,name",socioeconomic_request.model_socioeconomic_request,Socioeconomic Request,Solicitação Socioecônomica,,
website_sale_restrict,model,"ir.model,name",website_sale_restrict.model_product_template,Product,Produto,,
website_sale_restrict,model,"ir.model,name",website_sale_restrict.model_product_product,Product Variant,Variante do produto,,
address_from_zip,model,"ir.model.fields,field_description",address_from_zip.field_res_partner__neighborhood,Neighborhood,Bairro,,
address_from_zip,model,"ir.model.fields,field_description",address_from_zip.field_res_partner__pagarme_line1,Line 1,Linha 1 (pagarme),,
address_from_zip,model,"ir.model.fields,field_description",address_from_zip.field_res_partner__street_number,Number,Número,,
address_from_zip,model,"ir.model.fields,field_description",address_from_zip.field_res_users__neighborhood,Neighborhood,Bairro,,
address_from_zip,model,"ir.model.fields,field_description",address_from_zip.field_res_users__pagarme_line1,Line 1,Linha 1 (pagarme),,
address_from_zip,model,"ir.model.fields,field_description",address_from_zip.field_res_users__street_number,Number,Número,,
